owner,quantity,price
Alejandro Ortiz,18,$5244.52
Scott Dixon,55,$9649.80
Harriet Moore,52,$4081.29
Sue Fernandez,27,$2727.36
Irene Lane,47,$3752.17
Derrick Potter,42,$6316.91
Rosa Ortega,29,$8915.60
Genevieve Zimmerman,61,$2205.08
Helen Owen,61,$7804.34
Mike Cummings,65,$3908.82
Lizzie Fisher,56,$4181.59
Shawn Nelson,36,$7290.83
Alma Bradley,45,$693.67
Amanda Brown,27,$3205.00
Anthony Sullivan,38,$3659.10
Carolyn Johnston,39,$5688.45
Connor Dawson,31,$5679.82
Nora Barnett,20,$1783.74
Janie Baker,39,$7798.64
Pauline Spencer,35,$4085.10
Aiden West,59,$4813.34
Emilie Harper,28,$6718.83
Eric Todd,45,$5436.03
Emily Hamilton,62,$6581.76
Kate Turner,56,$2313.96
Jesse Haynes,63,$7439.81
Willie Sharp,63,$5964.54
Sophie Barber,33,$151.74
Steven Wilkins,35,$2281.61
Maurice Jensen,20,$2562.36
Lucille Pearson,61,$2102.66
Seth Lewis,59,$5840.32
Ethan Warren,48,$8958.12
Verna Garrett,50,$7906.02
Francis Fitzgerald,41,$4434.14
Ruby Franklin,64,$6021.41
Frederick Mason,59,$2928.28
Mathilda Lamb,44,$5278.85
Jesse Mills,54,$5102.74
Lora Stevenson,31,$2821.67
Daisy Hall,50,$6705.05
Allen Caldwell,19,$3779.65
Jeffery Joseph,35,$2158.54
Bertie Wilkins,65,$9445.56
Lucille Rogers,19,$930.36
Jason Jensen,57,$9037.24
Sue Baldwin,46,$5074.81
Leo Dunn,19,$8004.95
Rhoda Holt,19,$4077.27
Birdie Oliver,34,$1830.66
Francisco Farmer,34,$4189.70
Rena Webb,47,$5317.56
Jennie Fields,47,$1708.90
Jay Gutierrez,38,$9834.50
Lola Wright,41,$8011.36
Alfred Lynch,33,$103.13
Charlotte Shaw,58,$1449.40
Glen Sparks,27,$27.59
Sally Sutton,25,$7801.77
Emily Mendoza,58,$8965.59
Randy Willis,46,$7024.25
Estelle Cortez,21,$3363.16
Ernest Andrews,20,$9497.46
Katie Owen,24,$601.56
Mitchell Chambers,60,$9026.04
Norman Myers,50,$1379.55
Brett Dawson,18,$7880.84
Elnora Fox,32,$1320.30
Jacob Jordan,64,$5002.28
Jay Massey,63,$2353.36
Ricardo Schultz,27,$9707.84
Lola Morton,33,$6584.45
Katharine Chandler,24,$7562.21
Lelia Rogers,34,$4343.07
Alexander Day,20,$5896.08
Clyde Nash,40,$3921.84
Amy Gibbs,44,$8301.74
Ricardo Todd,64,$9119.78
David Kim,58,$95.41
Nora Sanders,54,$1788.40
Maude Henry,58,$1682.36
Bryan Reyes,51,$3022.60
Jason Santos,27,$9004.40
Jeffrey Simmons,64,$341.13
Cecilia Higgins,50,$4300.29
Madge Griffith,28,$776.85
Emma Rice,27,$818.10
Ruth Larson,55,$8954.00
Jessie Waters,65,$5994.64
Rosalie Cohen,59,$2932.61
Marion Obrien,20,$5039.17
Jeanette Carr,23,$7573.77
Emilie Fleming,55,$6408.65
Joseph Carson,28,$7129.64
Gertrude Butler,39,$5123.55
Ola Holland,37,$3167.92
Clayton Carson,40,$102.08
Hunter Reyes,52,$6346.02
Mabel Wheeler,62,$3303.14
Rebecca Christensen,19,$6857.02
Alvin Luna,62,$6408.43
Hilda Lynch,28,$276.84
Garrett Hopkins,40,$1741.45
Josie Barker,28,$5033.74
Austin Stevenson,60,$3331.56
Myrtie Steele,39,$1762.73
Willie Nguyen,28,$4792.83
Jeff Cain,57,$5128.52
Ann Williamson,27,$8579.97
Robert Saunders,51,$7504.52
Arthur Lopez,51,$6001.38
Virgie Green,32,$9678.15
Estella Holmes,64,$8237.39
Mason Cross,44,$6504.85
Devin Cooper,28,$2093.69
Jose Maldonado,37,$1797.26
Barry Floyd,28,$1343.76
Laura Boone,27,$5438.58
Irene Newman,32,$6382.06
Sara Pierce,21,$3026.33
